Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE0002387,"LIMESTN PULVRZD;LIME,GRANULADO,BOMBONA",101,GR goods receipt,6/25/2023,,30260,KG,30260,KG,15412.02,PEN,5005140403,1,SILO DE CAL # 01,0,0,G010-00041643,6/25/2023,Q004,MPOVIS,4502745880,10,C601,6/25/2023,,,
AE0002528,"REAGENT;FROTHER 1 MIBC,PURO,LIQUIDO",101,GR for consgt stock,6/25/2023,K,15040,KG,15040,KG,0,PEN,5005140372,1,3520TK005,0,0,026-0010751,6/25/2023,Q004,MPOVIS,4502661623,10,C601,6/25/2023,,,
AE0002529,"REAGENT;124-04-9,FLOCCULANT SNF-V204",101,GR for consgt stock,6/25/2023,K,9000,KG,9000,KG,0,PEN,5005140168,1,FLOCULANTE,0,0,EG07-00000392,6/25/2023,Q004,MPOVIS,4502698507,10,C601,6/25/2023,,,
AE0002776,"GAS,ACETYLENE;INDUSTRIAL,GAS,INDUSTRIAL",311,TF trfr within plant,6/25/2023,,-80,KG,-80,KG,0,PEN,4908900444,1,,0,0,,6/25/2023,Q011,JPACCARA,,0,C601,6/25/2023,,,
AE0002776,"GAS,ACETYLENE;INDUSTRIAL,GAS,INDUSTRIAL",101,GR goods receipt,6/25/2023,,80,KG,80,KG,3055.92,PEN,5005140381,1,,0,0,929-0002804,6/25/2023,Q011,JPACCARA,4502181472,10,C601,6/25/2023,,,
AE0002776,"GAS,ACETYLENE;INDUSTRIAL,GAS,INDUSTRIAL",311,TF trfr within plant,6/25/2023,,80,KG,80,KG,0,PEN,4908900444,2,,0,0,,6/25/2023,Q004,JPACCARA,,0,C601,6/25/2023,,,
AE0002940,"BEAKER,LABORATORY;025.01.050,MERCK;50ML",101,GR stock in transit,6/25/2023,,24,EA,24,EA,0,PEN,5005140499,1,EG07-00000428,0,0,80112970,6/25/2023,Q001,AOP_OUTSYS,4502773185,300,C601,6/25/2023,,,
AE0002945,"BEAKER,LABORATORY;025.01.100,MERCK;100ML",101,GR stock in transit,6/25/2023,,24,EA,24,EA,0,PEN,5005140499,2,EG07-00000428,0,0,80112970,6/25/2023,Q001,AOP_OUTSYS,4502773185,310,C601,6/25/2023,,,
AE0002950,"BKR LAB;025.01.600,KIMAX;600ML,DIN 12331",101,GR stock in transit,6/25/2023,,48,EA,48,EA,0,PEN,5005140499,3,EG07-00000428,0,0,80112970,6/25/2023,Q001,AOP_OUTSYS,4502773185,320,C601,6/25/2023,,,
AE0004216,"ROD,WELDING;ROLL,4MM,HDPE",201,GI for cost center,6/25/2023,,-70,ROL,-70,ROL,-39282.01,PEN,4908901310,1,MARTIN FALCON,11312577,1,WH,6/25/2023,Q001,MELEFTERIU,,0,C601,6/25/2023,,CQ18001111,
